reporter_slug,short_name,prediction_state,predictor,response_scale,recoverability_r,reliability,magnitude_spearman,variance_ratio,top5pct_recall,n_genes,observed_boundary_ties,predicted_boundary_ties,tier,proxy_supported,pass_reliability,pass_recovery,pass_rank,pass_variance_lower,pass_variance_upper,pass_quantitative_hit,pass_ranking_hit,pass_measurement_recovery,failed_quantitative_gates,failed_ranking_gates
ps6,pS6*,checkpoint_average,coherent_median_ensemble,common_control,0.5893811845368763,0.3470813638953472,0.6643925683925684,0.06743305898285909,0.28,1000,1,1,measurement_required,False,True,False,False,False,True,False,False,True,recovery;rank;variance_lower;quantitative_hit,rank;ranking_hit
ps6,pS6*,checkpoint_average,coherent_median_ensemble,fold_standardized,0.5893811845368763,0.3470813638953472,0.6949788229788231,0.4129917534036191,0.44,1000,1,1,measurement_required,False,True,False,False,False,True,False,False,True,recovery;rank;variance_lower;quantitative_hit,rank;ranking_hit
prb,pRb*,checkpoint_average,coherent_median_ensemble,common_control,0.5147917575055065,0.1509084849662904,0.7083289323289323,0.01694074242477283,0.6,1000,1,1,not_identifiable,False,False,False,True,False,True,True,True,True,reliability;recovery;variance_lower,reliability
prb,pRb*,checkpoint_average,coherent_median_ensemble,fold_standardized,0.5147917575055065,0.1509084849662904,0.7553126393126393,0.004764961247290425,0.5,1000,1,1,not_identifiable,False,False,False,True,False,True,False,True,True,reliability;recovery;variance_lower;quantitative_hit,reliability
nuclei_hoechst,Hoechst*,checkpoint_average,coherent_median_ensemble,common_control,0.7552751627234884,0.187063345712023,0.670925242925243,0.6970531092744202,0.52,1000,1,1,not_identifiable,False,False,True,False,True,True,False,True,False,reliability;rank;quantitative_hit,reliability;rank
nuclei_hoechst,Hoechst*,checkpoint_average,coherent_median_ensemble,fold_standardized,0.7552751627234884,0.187063345712023,0.669927945927946,0.6951577877093181,0.52,1000,1,1,not_identifiable,False,False,True,False,True,True,False,True,False,reliability;rank;quantitative_hit,reliability;rank
nucleoli_npm1,NPM1*,checkpoint_average,coherent_median_ensemble,common_control,0.5498100329077996,0.2156298259088717,0.48870143670143673,0.474345198031117,0.42,1000,1,1,not_identifiable,False,False,False,False,False,True,False,False,True,reliability;recovery;rank;variance_lower;quantitative_hit,reliability;rank;ranking_hit
nucleoli_npm1,NPM1*,checkpoint_average,coherent_median_ensemble,fold_standardized,0.5498100329077996,0.2156298259088717,0.48403373203373207,0.46529155077740575,0.42,1000,1,1,not_identifiable,False,False,False,False,False,True,False,False,True,reliability;recovery;rank;variance_lower;quantitative_hit,reliability;rank;ranking_hit
b-catenin,b-catenin*,checkpoint_average,coherent_median_ensemble,common_control,0.5709871635927861,0.2160133604189748,0.6645843525843527,0.46432598215757864,0.5,1000,1,1,not_identifiable,False,False,False,False,False,True,False,True,True,reliability;recovery;rank;variance_lower;quantitative_hit,reliability;rank
b-catenin,b-catenin*,checkpoint_average,coherent_median_ensemble,fold_standardized,0.5709871635927861,0.2160133604189748,0.6507595947595948,0.44736547839872537,0.46,1000,1,1,not_identifiable,False,False,False,False,False,True,False,False,True,reliability;recovery;rank;variance_lower;quantitative_hit,reliability;rank;ranking_hit
c-myc,c-Myc*,checkpoint_average,coherent_median_ensemble,common_control,0.5667739586418342,0.2166304258685255,0.6272016392016392,0.39625743892844456,0.5,1000,1,1,not_identifiable,False,False,False,False,False,True,False,True,True,reliability;recovery;rank;variance_lower;quantitative_hit,reliability;rank
c-myc,c-Myc*,checkpoint_average,coherent_median_ensemble,fold_standardized,0.5667739586418342,0.2166304258685255,0.600885156885157,0.3333060898319562,0.44,1000,1,1,not_identifiable,False,False,False,False,False,True,False,False,True,reliability;recovery;rank;variance_lower;quantitative_hit,reliability;rank;ranking_hit
er_cona,ConA*,checkpoint_average,coherent_median_ensemble,common_control,0.7152596386356781,0.2319836986715685,0.7217280977280978,0.5309365644444025,0.56,1000,1,1,not_identifiable,False,False,True,True,True,True,False,True,False,reliability;quantitative_hit,reliability
er_cona,ConA*,checkpoint_average,coherent_median_ensemble,fold_standardized,0.7152596386356781,0.2319836986715685,0.7161210321210322,0.5528258210592008,0.58,1000,1,1,not_identifiable,False,False,True,True,True,True,False,True,False,reliability;quantitative_hit,reliability
