gene,mean_response_percentile
TAS2R40,0.34224999999999994
TBC1D3B,0.8996153846153846
TBC1D3G,0.8522692307692309
TBL3,0.6195576923076923
TBP,0.3844615384615384
TBPL1,0.3884615384615385
TCP1,0.7088461538461538
TEFM,0.46321153846153845
TELO2,0.514576923076923
TERF1,0.5866346153846154
TERF2,0.503596153846154
TERF2IP,0.419
TFIP11,0.5830192307692308
TGFBR1,0.4341153846153846
THG1L,0.44176923076923075
THOC3,0.6093461538461539
THOC7,0.47861538461538466
THRA,0.4517307692307692
TICAM1,0.3856538461538462
TIMELESS,0.748096153846154
TIMM17B,0.42276923076923073
TIMM23,0.5615576923076924
TIMM44,0.55525
TIPARP,0.6414230769230769
TIPIN,0.7083653846153848
TLR2,0.4075192307692307
TLR3,0.32194230769230764
TM2D2,0.25403846153846155
TM7SF3,0.3421346153846153
TMA16,0.40455769230769223
TMED10,0.5633269230769231
TMED2,0.4223461538461538
TMED4,0.3774423076923077
TMEM167A,0.4495961538461538
TMEM63B,0.35561538461538456
TMOD4,0.5137692307692308
TMX2,0.3346153846153846
TNFRSF1A,0.4349615384615385
TNRC6A,0.3216346153846154
TOMM20,0.5313653846153846
TONSL,0.7069615384615383
TOR2A,0.4839230769230769
TPT1,0.4633846153846154
TRAPPC11,0.4057115384615385
TRAPPC2L,0.51975
TRAPPC4,0.46757692307692306
TRIM33,0.3840384615384616
TRIM43,0.9001153846153845
TRPC1,0.4118461538461538
TSC1,0.5194423076923077
TSC2,0.4704615384615385
TSEN2,0.38974999999999993
TSPAN31,0.4724423076923077
TSR1,0.5659615384615384
TSR2,0.3544423076923077
TTI1,0.36159615384615384
TTI2,0.3207692307692308
TTN,0.3918461538461538
TUBA1A,0.6000576923076922
TUBB8,0.8545961538461538
TUBGCP6,0.5904999999999998
TWF1,0.6620000000000001
TWSG1,0.3554807692307692
TYK2,0.37757692307692303
UBA52,0.8825961538461538
UBAP2L,0.46155769230769234
UBC,0.4409230769230769
UBE2D3,0.701096153846154
UBE2M,0.657576923076923
UBE2N,0.4139038461538461
UBN1,0.48548076923076927
UBR4,0.5022884615384616
UFL1,0.436826923076923
UFM1,0.3588653846153846
UFSP2,0.28823076923076923
UGT3A2,0.357076923076923
UHRF1,0.3530384615384615
UQCC2,0.46365384615384614
URB2,0.514076923076923
URM1,0.42923076923076925
USH1G,0.5465961538461539
USP10,0.44940384615384615
USP14,0.44973076923076916
USP17L12,0.6965769230769231
